Scientific_name,English_name_AviList,Portuguese (Portugal),IUCN_Red_List_Category
Merganetta armata turneri,,,
Merganetta armata garleppi,,,
Merganetta armata berlepschi,,,
Merganetta armata armata,,,
Callonetta,,,
Callonetta leucophrys,Ringed Teal,Marreca-de-coleira,LC
Cairina,,,
Cairina moschata,Muscovy Duck,Pato-do-mato,LC
Aix,,,
Aix galericulata,Mandarin Duck,Pato-mandarim,LC
Aix sponsa,Wood Duck,Pato-carolino,LC
Neochen,,,
Neochen jubata,Orinoco Goose,Pato-corredor,LC
Chloephaga,,,
Chloephaga melanoptera,Andean Goose,Andean goose,LC
Chloephaga picta,Upland Goose,Ganso-de-magalhães,LC
Chloephaga picta picta,,,
Chloephaga picta leucoptera,,,
Chloephaga hybrida,Kelp Goose,Kelp goose,LC
Chloephaga hybrida hybrida,,,
Chloephaga hybrida malvinarum,,,
Chloephaga poliocephala,Ashy-headed Goose,Ashy-headed goose,LC
Chloephaga rubidiceps,Ruddy-headed Goose,Ruddy-headed goose,LC
Radjah,,,
Radjah radjah,Radjah Shelduck,Tadorna-de-cabeça-branca,LC
Radjah radjah radjah,,,
Radjah radjah rufitergum,,,
Alopochen,,,
Alopochen aegyptiaca,Egyptian Goose,Ganso-do-egipto,LC
Alopochen mauritiana,Mauritius Sheldgoose,Mauritius shelduck,EX
Alopochen kervazoi,Reunion Sheldgoose,Reunion shelduck,EX
Tadorna,,,
Tadorna tadorna,Common Shelduck,Tadorna,LC
Tadorna cristata,Crested Shelduck,Crested shelduck,CR
Tadorna cana,South African Shelduck,Tadorna-do-cabo,LC
Tadorna ferruginea,Ruddy Shelduck,Pato-casarca,LC
Tadorna variegata,Paradise Shelduck,Paradise shelduck,LC
Tadorna tadornoides,Australian Shelduck,Australian shelduck,LC
Clangula,,,
Clangula hyemalis,Long-tailed Duck,Pato-rabilongo,VU
Polysticta,,,
Polysticta stelleri,Steller's Eider,Êider-de-steller,VU
Camptorhynchus,,,
Camptorhynchus labradorius,Labrador Duck,Labrador duck,EX
Somateria,,,
Somateria fischeri,Spectacled Eider,Êider-de-lunetas,NT
Somateria spectabilis,King Eider,Êider-real,LC
Somateria mollissima,Common Eider,Êider,NT
Somateria mollissima v-nigrum,,,
Somateria mollissima borealis,,,
Somateria mollissima sedentaria,,,
Somateria mollissima dresseri,,,
Somateria mollissima faeroeensis,,,
Somateria mollissima mollissima,,,
Histrionicus,,,
Histrionicus histrionicus,Harlequin Duck,Pato-arlequim,LC
Melanitta,,,
Melanitta nigra,Common Scoter,Negrola-comum,LC
Melanitta americana,Black Scoter,Negrola-americana,NT
Melanitta perspicillata,Surf Scoter,Negrola-de-lunetas,LC
Melanitta fusca,Velvet Scoter,Negrola-d'asa-branca,VU
Melanitta deglandi,White-winged Scoter,Negrola-de-degland,LC
Melanitta stejnegeri,Stejneger's Scoter,Negrola-de-stejneger,LC
Bucephala,,,
Bucephala albeola,Bufflehead,Olho-dourado-de-touca,LC
Bucephala islandica,Barrow's Goldeneye,Olho-dourado-da-islândia,LC
Bucephala clangula,Common Goldeneye,Olho-dourado-comum,LC
Bucephala clangula clangula,,,
Bucephala clangula americana,,,
Mergellus,,,
Mergellus albellus,Smew,Merganso-pequeno,LC
Lophodytes,,,
Lophodytes cucullatus,Hooded Merganser,Merganso-capuchinho,LC
Mergus,,,
Mergus serrator,Red-breasted Merganser,Merganso-de-poupa,LC
Mergus squamatus,Scaly-sided Merganser,Scaly-sided merganser,EN
Mergus octosetaceus,Brazilian Merganser,Pato-mergulhão,CR
Mergus australis,New Zealand Merganser,Auckland islands merganser,EX
Mergus merganser,Common Merganser,Merganso-grande,LC
Mergus merganser merganser,,,
Mergus merganser orientalis,,,
Mergus merganser americanus,,,
Sarkidiornis,,,
Sarkidiornis melanotos,Knob-billed Duck,Knob-billed duck,LC
Sarkidiornis sylvicola,Comb Duck,Pato-de-crista,LC
Hymenolaimus,,,
Hymenolaimus malacorhynchos,Blue Duck,Blue duck,EN
Hymenolaimus malacorhynchos malacorhynchos,,,
Hymenolaimus malacorhynchos hymenolaimus,,,
Chenonetta,,,
Chenonetta jubata,Maned Duck,Pato-de-crina,LC
Cyanochen,,,
Cyanochen cyanoptera,Blue-winged Goose,Blue-winged goose,NT
Pteronetta,,,
Pteronetta hartlaubii,Hartlaub's Duck,Hartlaub's duck,LC
Marmaronetta,,,
Marmaronetta angustirostris,Marbled Duck,Pardilheira,NT
Asarcornis,,,
Asarcornis scutulata,White-winged Duck,White-winged duck,CR
Rhodonessa,,,
Rhodonessa caryophyllacea,Pink-headed Duck,Pink-headed duck,CR
Netta,,,
Netta rufina,Red-crested Pochard,Pato-de-bico-vermelho,LC
Netta erythrophthalma,Southern Pochard,Zarro-meridional,LC
Netta erythrophthalma brunnea,,,
Netta erythrophthalma erythrophthalma,,,
Netta peposaca,Rosy-billed Pochard,Marrecão,LC
Aythya,,,
Aythya nyroca,Ferruginous Duck,Pêrra,NT
Aythya innotata,Madagascar Pochard,Madagascar pochard,CR
Aythya baeri,Baer's Pochard,Baer's pochard,CR
Aythya australis,Hardhead,Zarro-australiano,LC
Aythya ferina,Common Pochard,Zarro,VU
Aythya valisineria,Canvasback,Zarro-grande,LC
Aythya collaris,Ring-necked Duck,Caturro,LC
Aythya americana,Redhead,Zarro-americano,LC
Aythya fuligula,Tufted Duck,Negrinha,LC
Aythya novaeseelandiae,New Zealand Scaup,New zealand scaup,LC
Aythya affinis,Lesser Scaup,Negrelho-americano,LC
Aythya marila,Greater Scaup,Negrelho,LC
Aythya marila marila,,,
Aythya marila nearctica,,,
Salvadorina,,,
Salvadorina waigiuensis,Salvadori's Teal,Salvadori's teal,LC
Lophonetta,,,
Lophonetta specularioides,Crested Duck,Crested duck,LC
Lophonetta specularioides alticola,,,
Lophonetta specularioides specularioides,,,
Speculanas,,,
Speculanas specularis,Bronze-winged Duck,Spectacled duck,NT
Amazonetta,,,
Amazonetta brasiliensis,Brazilian Teal,Marreca-de-pé-vermelho,LC
Amazonetta brasiliensis brasiliensis,,,
Amazonetta brasiliensis ipecutiri,,,
Tachyeres,,,
Tachyeres patachonicus,Flying Steamer Duck,Flying steamer-duck,LC
Tachyeres pteneres,Fuegian Steamer Duck,Flightless steamer-duck,LC
Tachyeres brachypterus,Falkland Steamer Duck,Falkland steamer-duck,LC
Tachyeres leucocephalus,Chubut Steamer Duck,White-headed steamer-duck,VU
Sibirionetta,,,
Sibirionetta formosa,Baikal Teal,Marrequinha-formosa,LC
Spatula,,,
Spatula querquedula,Garganey,Marreco,LC
Spatula hottentota,Blue-billed Teal,Blue-billed teal,LC
Spatula puna,Puna Teal,Puna teal,LC
Spatula versicolor,Silver Teal,Marreca-cricri,LC
Spatula versicolor versicolor,,,
Spatula versicolor fretensis,,,
Spatula platalea,Red Shoveler,Marreca-colhereira,LC
Spatula discors,Blue-winged Teal,Marreca-d'asa-azul,LC
Spatula cyanoptera,Cinnamon Teal,Pato-canela,LC
Spatula cyanoptera septentrionalium,,,
Spatula cyanoptera tropica,,,
Spatula cyanoptera borreroi,,,
Spatula cyanoptera orinoma,,,
Spatula cyanoptera cyanoptera,,,
Spatula smithii,Cape Shoveler,Cape shoveler,LC
Spatula clypeata,Northern Shoveler,Pato-colhereiro,LC
Spatula rhynchotis,Australasian Shoveler,Australasian shoveler,LC
Spatula rhynchotis rhynchotis,,,
Spatula rhynchotis variegata,,,
Mareca,,,
Mareca falcata,Falcated Duck,Pato-falcado,LC
Mareca strepera,Gadwall,Frisada,LC
Mareca strepera strepera,,,
Mareca strepera couesi,,,
Mareca marecula,Amsterdam Wigeon,Amsterdam duck,EX
Mareca penelope,Eurasian Wigeon,Piadeira,LC
Mareca americana,American Wigeon,Piadeira-americana,LC
Mareca sibilatrix,Chiloe Wigeon,Piadeira-chilena,LC
Anas,,,
Anas sparsa,African Black Duck,African black duck,LC
Anas sparsa leucostigma,,,
Anas sparsa sparsa,,,
Anas melleri,Meller's Duck,Meller's duck,EN
Anas undulata,Yellow-billed Duck,Yellow-billed duck,LC
Anas undulata ruppelli,,,
Anas undulata undulata,,,
Anas luzonica,Philippine Duck,Philippine duck,LC
Anas superciliosa,Pacific Black Duck,Pato-preto-australiano,LC
Anas superciliosa superciliosa,,,
Anas superciliosa pelewensis,,,
Anas wyvilliana,Hawaiian Duck,Hawaiian duck,VU
Anas laysanensis,Laysan Duck,Laysan duck,CR
Anas zonorhyncha,Eastern Spot-billed Duck,Eastern spot-billed duck,LC
Anas poecilorhyncha,Indian Spot-billed Duck,Indian spot-billed duck,LC
Anas poecilorhyncha poecilorhyncha,,,
Anas poecilorhyncha haringtoni,,,
Anas platyrhynchos,Mallard,Pato-real,LC
Anas platyrhynchos platyrhynchos,,,
Anas platyrhynchos conboschas,,,
Anas diazi,Mexican Duck,Mexican duck,NE
Anas rubripes,American Black Duck,Pato-escuro-americano,LC
Anas fulvigula,Mottled Duck,Mottled duck,NE
Anas fulvigula fulvigula,,,
Anas fulvigula maculosa,,,
Anas capensis,Cape Teal,Marrequinha-de-bico-vermelho,LC
Anas bahamensis,White-cheeked Pintail,Arrabio-de-faces-brancas,LC
Anas bahamensis bahamensis,,,
Anas bahamensis rubrirostris,,,
Anas bahamensis galapagensis,,,
Anas erythrorhyncha,Red-billed Teal,Arrabio-de-bico-vermelho,LC
Anas georgica,Yellow-billed Pintail,Marreca-parda,LC
Anas georgica niceforoi,,,
Anas georgica spinicauda,,,
Anas georgica georgica,,,
Anas acuta,Northern Pintail,Arrabio,LC
Anas eatoni,Eaton's Pintail,Eaton's pintail,LC
Anas eatoni drygalskii,,,
Anas eatoni eatoni,,,
Anas crecca,Green-winged Teal,Marrequinha,NE
Anas crecca crecca,,,
Anas crecca carolinensis,,,
Anas flavirostris,Yellow-billed Teal,Marreca-pardinha,LC
Anas flavirostris oxyptera,,,
Anas flavirostris flavirostris,,,
Anas andium,Andean Teal,Andean teal,LC
Anas andium altipetens,,,
Anas andium andium,,,
Anas gibberifrons,Sunda Teal,Marrequinha-de-sunda,LC
Anas albogularis,Andaman Teal,Andaman teal,NT
Anas castanea,Chestnut Teal,Marrequinha-castanha,LC
Anas castanea castanea,,,
Anas castanea alexanderi,,,
Anas gracilis,Grey Teal,Gray teal,LC
Anas gracilis gracilis,,,
Anas gracilis remissa,,,
Anas bernieri,Bernier's Teal,Bernier's teal,EN
Anas theodori,Mascarene Teal,Mauritius duck,EX
Anas chlorotis,Brown Teal,Brown teal,NT
Anas aucklandica,Auckland Teal,Auckland islands teal,NT
Anas nesiotis,Campbell Teal,Campbell islands teal,VU
Galliformes,,,
Megapodiidae,,,
Leipoa,,,
Leipoa ocellata,Malleefowl,Malleefowl,VU
Talegalla,,,
Talegalla cuvieri,Red-billed Brushturkey,Red-billed brushturkey,LC
Talegalla fuscirostris,Black-billed Brushturkey,Yellow-legged brushturkey,LC
Talegalla jobiensis,Collared Brushturkey,Red-legged brushturkey,LC
Talegalla jobiensis jobiensis,,,
Talegalla jobiensis longicaudus,,,
Alectura,,,
Alectura lathami,Australian Brushturkey,Australian brushturkey,LC
Alectura lathami purpureicollis,,,
Alectura lathami lathami,,,
Aepypodius,,,
Aepypodius bruijnii,Waigeo Brushturkey,Waigeo brushturkey,EN
Aepypodius arfakianus,Wattled Brushturkey,Wattled brushturkey,LC
Aepypodius arfakianus arfakianus,,,
Aepypodius arfakianus misoliensis,,,
Macrocephalon,,,
Macrocephalon maleo,Maleo,Maleo,CR
Eulipoa,,,
Eulipoa wallacei,Moluccan Megapode,Moluccan megapode,VU
Megapodius,,,
Megapodius pritchardii,Tongan Megapode,Tongan megapode,VU
Megapodius laperouse,Micronesian Megapode,Micronesian megapode,NT
Megapodius laperouse senex,,,
Megapodius laperouse laperouse,,,
Megapodius nicobariensis,Nicobar Megapode,Nicobar megapode,VU
Megapodius nicobariensis nicobariensis,,,
Megapodius nicobariensis abbotti,,,
Megapodius cumingii,Philippine Megapode,Philippine megapode,LC
Megapodius cumingii cumingii,,,
Megapodius cumingii dillwyni,,,
Megapodius cumingii pusillus,,,
Megapodius cumingii tabon,,,
Megapodius cumingii gilbertii,,,
Megapodius cumingii sanghirensis,,,
Megapodius cumingii talautensis,,,
Megapodius bernsteinii,Sula Megapode,Sula megapode,VU
Megapodius tenimberensis,Tanimbar Megapode,Tanimbar megapode,VU
Megapodius freycinet,Dusky Megapode,Dusky megapode,LC
Megapodius freycinet quoyii,,,
Megapodius freycinet freycinet,,,
Megapodius freycinet oustaleti,,,
Megapodius freycinet forsteni,,,
