Scientific_name,English_name_AviList,Portuguese (Brazil),IUCN_Red_List_Category
Gymnoris superciliaris flavigula,,,
Gymnoris superciliaris rufitergum,,,
Gymnoris superciliaris superciliaris,,,
Gymnoris dentata,Sahel Bush Sparrow,sahel bush sparrow,LC
Passer,,,
Passer griseus,Northern Grey-headed Sparrow,northern gray-headed sparrow,LC
Passer griseus griseus,,,
Passer griseus laeneni,,,
Passer griseus ugandae,,,
Passer swainsonii,Swainson's Sparrow,swainson's sparrow,LC
Passer gongonensis,Parrot-billed Sparrow,parrot-billed sparrow,LC
Passer suahelicus,Swahili Sparrow,swahili sparrow,LC
Passer diffusus,Southern Grey-headed Sparrow,southern gray-headed sparrow,LC
Passer diffusus luangwae,,,
Passer diffusus mosambicus,,,
Passer diffusus diffusus,,,
Passer diffusus stygiceps,,,
Passer melanurus,Cape Sparrow,cape sparrow,LC
Passer melanurus damarensis,,,
Passer melanurus melanurus,,,
Passer melanurus vicinus,,,
Passer eminibey,Chestnut Sparrow,chestnut sparrow,LC
Passer motitensis,Great Sparrow,great rufous sparrow,LC
Passer motitensis benguellensis,,,
Passer motitensis motitensis,,,
Passer motitensis subsolanus,,,
Passer rufocinctus,Kenya Sparrow,kenya rufous sparrow,LC
Passer shelleyi,Shelley's Sparrow,shelley's rufous sparrow,LC
Passer cordofanicus,Kordofan Sparrow,kordofan rufous sparrow,LC
Passer cinnamomeus,Russet Sparrow,russet sparrow,LC
Passer cinnamomeus cinnamomeus,,,
Passer cinnamomeus intensior,,,
Passer cinnamomeus rutilans,,,
Passer montanus,Eurasian Tree Sparrow,pardal-montês,LC
Passer montanus montanus,,,
Passer montanus dybowskii,,,
Passer montanus transcaucasicus,,,
Passer montanus kansuensis,,,
Passer montanus dilutus,,,
Passer montanus tibetanus,,,
Passer montanus saturatus,,,
Passer montanus hepaticus,,,
Passer montanus malaccensis,,,
Passer ammodendri,Saxaul Sparrow,saxaul sparrow,LC
Passer ammodendri ammodendri,,,
Passer ammodendri nigricans,,,
Passer ammodendri stoliczkae,,,
Passer iagoensis,Iago Sparrow,pardal-de-terra,LC
Passer zarudnyi,Zarudny's Sparrow,pardal-de-zarudny,LC
Passer simplex,Desert Sparrow,pardal-do-deserto,LC
Passer simplex saharae,,,
Passer simplex simplex,,,
Passer moabiticus,Dead Sea Sparrow,pardal-do-levante,LC
Passer moabiticus moabiticus,,,
Passer moabiticus yatii,,,
Passer luteus,Sudan Golden Sparrow,sudan golden sparrow,LC
Passer euchlorus,Arabian Golden Sparrow,arabian golden sparrow,LC
Passer flaveolus,Plain-backed Sparrow,plain-backed sparrow,LC
Passer insularis,Socotra Sparrow,socotra sparrow,LC
Passer hemileucus,Abd al-Kuri Sparrow,abd al kuri sparrow,VU
Passer hispaniolensis,Spanish Sparrow,pardal-espanhol,LC
Passer hispaniolensis hispaniolensis,,,
Passer hispaniolensis transcaspicus,,,
Passer pyrrhonotus,Sind Sparrow,sind sparrow,LC
Passer castanopterus,Somali Sparrow,somali sparrow,LC
Passer castanopterus castanopterus,,,
Passer castanopterus fulgens,,,
Passer italiae,Italian Sparrow,pardal-italiano,VU
Passer domesticus,House Sparrow,pardal,LC
Passer domesticus domesticus,,,
Passer domesticus balearoibericus,,,
Passer domesticus biblicus,,,
Passer domesticus hyrcanus,,,
Passer domesticus persicus,,,
Passer domesticus indicus,,,
Passer domesticus bactrianus,,,
Passer domesticus parkini,,,
Passer domesticus hufufae,,,
Passer domesticus tingitanus,,,
Passer domesticus niloticus,,,
Passer domesticus rufidorsalis,,,
Motacillidae,,,
Dendronanthus,,,
Dendronanthus indicus,Forest Wagtail,forest wagtail,LC
Motacilla,,,
Motacilla flaviventris,Madagascar Wagtail,madagascar wagtail,LC
Motacilla bocagii,Sao Tome Shorttail,sao tome short-tail,VU
Motacilla capensis,Cape Wagtail,cape wagtail,LC
Motacilla capensis simplicissima,,,
Motacilla capensis capensis,,,
Motacilla capensis wellsi,,,
Motacilla clara,Mountain Wagtail,mountain wagtail,LC
Motacilla clara chapini,,,
Motacilla clara clara,,,
Motacilla clara torrentium,,,
Motacilla cinerea,Grey Wagtail,alvéola-cinzenta,LC
Motacilla cinerea patriciae,,,
Motacilla cinerea schmitzi,,,
Motacilla cinerea cinerea,,,
Motacilla flava,Western Yellow Wagtail,alvéola-amarela,LC
Motacilla flava flavissima,,,
Motacilla flava lutea,,,
Motacilla flava flava,,,
Motacilla flava beema,,,
Motacilla flava iberiae,,,
Motacilla flava cinereocapilla,,,
Motacilla flava pygmaea,,,
Motacilla flava leucocephala,,,
Motacilla flava feldegg,,,
Motacilla flava thunbergi,,,
Motacilla citreola,Citrine Wagtail,alvéola-citrina,LC
Motacilla citreola citreola,,,
Motacilla citreola calcarata,,,
Motacilla tschutschensis,Eastern Yellow Wagtail,alvéola-amarela-oriental,LC
Motacilla tschutschensis plexa,,,
Motacilla tschutschensis tschutschensis,,,
Motacilla tschutschensis macronyx,,,
Motacilla tschutschensis taivana,,,
Motacilla aguimp,African Pied Wagtail,african pied wagtail,LC
Motacilla aguimp vidua,,,
Motacilla aguimp aguimp,,,
Motacilla maderaspatensis,White-browed Wagtail,white-browed wagtail,LC
Motacilla alba,White Wagtail,alvéola-branca,LC
Motacilla alba yarrellii,,,
Motacilla alba alba,,,
Motacilla alba subpersonata,,,
Motacilla alba personata,,,
Motacilla alba baicalensis,,,
Motacilla alba ocularis,,,
Motacilla alba lugens,,,
Motacilla alba leucopsis,,,
Motacilla alba alboides,,,
Motacilla grandis,Japanese Wagtail,japanese wagtail,LC
Motacilla samveasnae,Mekong Wagtail,mekong wagtail,NT
Tmetothylacus,,,
Tmetothylacus tenellus,Golden Pipit,golden pipit,LC
Hemimacronyx,,,
Hemimacronyx chloris,Yellow-breasted Pipit,yellow-breasted pipit,VU
Macronyx,,,
Macronyx sharpei,Sharpe's Longclaw,sharpe's longclaw,EN
Macronyx capensis,Cape Longclaw,orange-throated longclaw,LC
Macronyx capensis capensis,,,
Macronyx capensis colletti,,,
Macronyx croceus,Yellow-throated Longclaw,yellow-throated longclaw,LC
Macronyx croceus croceus,,,
Macronyx croceus tertius,,,
Macronyx croceus vulturnus,,,
Macronyx fuelleborni,Fülleborn's Longclaw,fülleborn's longclaw,LC
Macronyx fuelleborni fuelleborni,,,
Macronyx fuelleborni ascensi,,,
Macronyx flavicollis,Abyssinian Longclaw,abyssinian longclaw,NT
Macronyx aurantiigula,Pangani Longclaw,pangani longclaw,LC
Macronyx ameliae,Rosy-throated Longclaw,rosy-throated longclaw,LC
Macronyx ameliae wintoni,,,
Macronyx ameliae altanus,,,
Macronyx ameliae ameliae,,,
Macronyx grimwoodi,Grimwood's Longclaw,grimwood's longclaw,LC
Anthus,,,
Anthus sylvanus,Upland Pipit,upland pipit,LC
Anthus godlewskii,Blyth's Pipit,petinha-de-blyth,LC
Anthus hoeschi,Mountain Pipit,mountain pipit,NT
Anthus campestris,Tawny Pipit,petinha-dos-campos,LC
Anthus berthelotii,Berthelot's Pipit,corre-caminho,LC
Anthus berthelotii madeirensis,,,
Anthus berthelotii berthelotii,,,
Anthus similis,Long-billed Pipit,petinha-de-bico-comprido,NE
Anthus similis asbenaicus,,,
Anthus similis bannermani,,,
Anthus similis captus,,,
Anthus similis jebelmarrae,,,
Anthus similis nivescens,,,
Anthus similis hararensis,,,
Anthus similis chyuluensis,,,
Anthus similis dewittei,,,
Anthus similis moco,,,
Anthus similis arabicus,,,
Anthus similis sokotrae,,,
Anthus similis decaptus,,,
Anthus similis jerdoni,,,
Anthus similis similis,,,
Anthus similis yamethini,,,
Anthus vaalensis,Buffy Pipit,buffy pipit,LC
Anthus vaalensis chobiensis,,,
Anthus vaalensis neumanni,,,
Anthus vaalensis namibicus,,,
Anthus vaalensis exasperatus,,,
Anthus vaalensis vaalensis,,,
Anthus nyassae,Wood Pipit,woodland pipit,LC
Anthus nyassae schoutedeni,,,
Anthus nyassae nyassae,,,
Anthus nyassae chersophilus,,,
Anthus nyassae frondicolus,,,
Anthus nicholsoni,Nicholson's Pipit,nicholson's pipit,NE
Anthus nicholsoni palliditinctus,,,
Anthus nicholsoni leucocraspedon,,,
Anthus nicholsoni nicholsoni,,,
Anthus nicholsoni petricolus,,,
Anthus nicholsoni primarius,,,
Anthus novaeseelandiae,New Zealand Pipit,new zealand pipit,NE
Anthus novaeseelandiae novaeseelandiae,,,
Anthus novaeseelandiae chathamensis,,,
Anthus novaeseelandiae aucklandicus,,,
Anthus novaeseelandiae steindachneri,,,
Anthus australis,Australian Pipit,australian pipit,NE
Anthus australis exiguus,,,
Anthus australis rogersi,,,
Anthus australis bilbali,,,
Anthus australis australis,,,
Anthus australis bistriatus,,,
Anthus pallidiventris,Long-legged Pipit,long-legged pipit,LC
Anthus pallidiventris pallidiventris,,,
Anthus pallidiventris esobe,,,
Anthus melindae,Malindi Pipit,malindi pipit,LC
Anthus melindae mallablensis,,,
Anthus melindae melindae,,,
Anthus leucophrys,Plain-backed Pipit,plain-backed pipit,LC
Anthus leucophrys ansorgei,,,
Anthus leucophrys gouldii,,,
Anthus leucophrys zenkeri,,,
Anthus leucophrys saphiroi,,,
Anthus leucophrys goodsoni,,,
Anthus leucophrys omoensis,,,
Anthus leucophrys bohndorffi,,,
Anthus leucophrys leucophrys,,,
Anthus leucophrys tephridorsus,,,
Anthus cinnamomeus,African Pipit,african pipit,LC
Anthus cinnamomeus lynesi,,,
Anthus cinnamomeus camaroonensis,,,
Anthus cinnamomeus stabilis,,,
Anthus cinnamomeus cinnamomeus,,,
Anthus cinnamomeus eximius,,,
Anthus cinnamomeus annae,,,
Anthus cinnamomeus itombwensis,,,
Anthus cinnamomeus lacuum,,,
Anthus cinnamomeus winterbottomi,,,
Anthus cinnamomeus lichenya,,,
Anthus cinnamomeus spurium,,,
Anthus cinnamomeus bocagii,,,
Anthus cinnamomeus grotei,,,
Anthus cinnamomeus rufuloides,,,
Anthus cinnamomeus latistriatus,,,
Anthus richardi,Richard's Pipit,petinha-de-richard,LC
Anthus rufulus,Paddyfield Pipit,paddyfield pipit,LC
Anthus rufulus rufulus,,,
Anthus rufulus malayensis,,,
Anthus rufulus lugubris,,,
Anthus rufulus albidus,,,
Anthus rufulus medius,,,
Anthus lineiventris,Striped Pipit,striped pipit,LC
Anthus crenatus,African Rock Pipit,yellow-tufted pipit,NT
Anthus sokokensis,Sokoke Pipit,sokoke pipit,EN
Anthus brachyurus,Short-tailed Pipit,short-tailed pipit,LC
Anthus brachyurus leggei,,,
Anthus brachyurus brachyurus,,,
Anthus caffer,Bushveld Pipit,bush pipit,LC
Anthus caffer australoabyssinicus,,,
Anthus caffer blayneyi,,,
Anthus caffer mzimbaensis,,,
Anthus caffer caffer,,,
Anthus caffer traylori,,,
Anthus spragueii,Sprague's Pipit,sprague's pipit,VU
Anthus chii,Yellowish Pipit,caminheiro-zumbidor,LC
Anthus chii parvus,,,
Anthus chii chii,,,
Anthus furcatus,Short-billed Pipit,caminheiro-de-unha-curta,LC
Anthus brevirostris,Puna Pipit,puna pipit,LC
Anthus peruvianus,Peruvian Pipit,peruvian pipit,LC
Anthus chacoensis,Pampas Pipit,pampas pipit,LC
Anthus hellmayri,Hellmayr's Pipit,caminheiro-de-barriga-acanelada,LC
Anthus hellmayri hellmayri,,,
Anthus hellmayri dabbenei,,,
Anthus hellmayri brasilianus,,,
Anthus bogotensis,Paramo Pipit,paramo pipit,LC
Anthus bogotensis meridae,,,
Anthus bogotensis bogotensis,,,
Anthus bogotensis immaculatus,,,
Anthus bogotensis shiptoni,,,
Anthus nattereri,Ochre-breasted Pipit,caminheiro-dourado,VU
Anthus antarcticus,South Georgia Pipit,south georgia pipit,LC
Anthus correndera,Correndera Pipit,caminheiro-de-espora,LC
Anthus correndera calcaratus,,,
Anthus correndera correndera,,,
Anthus correndera catamarcae,,,
Anthus correndera chilensis,,,
Anthus correndera grayi,,,
Anthus gustavi,Pechora Pipit,petinha-da-sibéria,LC
Anthus gustavi gustavi,,,
Anthus gustavi menzbieri,,,
Anthus ruficollis,Madanga,madanga,NT
Anthus gutturalis,Alpine Pipit,alpine pipit,LC
Anthus gutturalis gutturalis,,,
Anthus gutturalis wollastoni,,,
Anthus nilghiriensis,Nilgiri Pipit,nilgiri pipit,VU
Anthus trivialis,Tree Pipit,petinha-das-árvores,LC
Anthus trivialis trivialis,,,
Anthus trivialis haringtoni,,,
Anthus hodgsoni,Olive-backed Pipit,petinha-silvestre,LC
Anthus hodgsoni hodgsoni,,,
Anthus hodgsoni yunnanensis,,,
Anthus cervinus,Red-throated Pipit,petinha-de-garganta-ruiva,LC
Anthus roseatus,Rosy Pipit,rosy pipit,LC
Anthus japonicus,Siberian Pipit,siberian pipit,NE
Anthus rubescens,American Pipit,petinha-fulva,NE
Anthus rubescens rubescens,,,
Anthus rubescens alticola,,,
Anthus pratensis,Meadow Pipit,petinha-dos-prados,LC
Anthus petrosus,European Rock Pipit,petinha-marítima,LC
Anthus petrosus petrosus,,,
Anthus petrosus littoralis,,,
Anthus spinoletta,Water Pipit,petinha-ribeirinha,LC
Anthus spinoletta spinoletta,,,
Anthus spinoletta coutellii,,,
Anthus spinoletta blakistoni,,,
Fringillidae,,,
Fringilla,,,
Fringilla montifringilla,Brambling,tentilhão-montês,LC
Fringilla teydea,Tenerife Blue Chaffinch,tentilhão-azul-de-tenerife,NT
Fringilla polatzeki,Gran Canaria Blue Chaffinch,tentilhão-azul-da-gran-canária,EN
Fringilla spodiogenys,African Chaffinch,african chaffinch,NE
Fringilla spodiogenys africana,,,
Fringilla spodiogenys harterti,,,
Fringilla spodiogenys spodiogenys,,,
Fringilla coelebs,Eurasian Chaffinch,tentilhão,NE
Fringilla coelebs gengleri,,,
Fringilla coelebs coelebs,,,
Fringilla coelebs solomkoi,,,
Fringilla coelebs sarda,,,
Fringilla coelebs syriaca,,,
Fringilla coelebs alexandrovi,,,
Fringilla coelebs transcaspia,,,
Fringilla moreletti,Azores Chaffinch,tentilhão-dos-açores,NE
Fringilla maderensis,Madeira Chaffinch,tentilhão-da-madeira,NE
Fringilla canariensis,Canary Islands Chaffinch,canary islands chaffinch,NE
Fringilla canariensis canariensis,,,
Fringilla canariensis bakeri,,,
Fringilla canariensis ombriosa,,,
Fringilla canariensis palmae,,,
Chlorophonia,,,
Chlorophonia elegantissima,Elegant Euphonia,elegant euphonia,LC
Chlorophonia elegantissima rileyi,,,
Chlorophonia elegantissima elegantissima,,,
Chlorophonia elegantissima vincens,,,
Chlorophonia musica,Hispaniolan Euphonia,hispaniolan euphonia,LC
Chlorophonia sclateri,Puerto Rican Euphonia,puerto rican euphonia,LC
Chlorophonia flavifrons,Lesser Antillean Euphonia,lesser antillean euphonia,LC
Chlorophonia cyanocephala,Golden-rumped Euphonia,gaturamo-rei,LC
Chlorophonia cyanocephala pelzelni,,,
Chlorophonia cyanocephala insignis,,,
Chlorophonia cyanocephala cyanocephala,,,
Chlorophonia cyanea,Blue-naped Chlorophonia,gaturamo-bandeira,LC
Chlorophonia cyanea psittacina,,,
Chlorophonia cyanea frontalis,,,
Chlorophonia cyanea minuscula,,,
Chlorophonia cyanea roraimae,,,
Chlorophonia cyanea intensa,,,
Chlorophonia cyanea longipennis,,,
Chlorophonia cyanea cyanea,,,
Chlorophonia pyrrhophrys,Chestnut-breasted Chlorophonia,chestnut-breasted chlorophonia,LC
Chlorophonia flavirostris,Yellow-collared Chlorophonia,yellow-collared chlorophonia,LC
Chlorophonia occipitalis,Blue-crowned Chlorophonia,blue-crowned chlorophonia,LC
Chlorophonia callophrys,Golden-browed Chlorophonia,golden-browed chlorophonia,LC
Euphonia,,,
Euphonia jamaica,Jamaican Euphonia,jamaican euphonia,LC
Euphonia saturata,Orange-crowned Euphonia,orange-crowned euphonia,LC
Euphonia plumbea,Plumbeous Euphonia,gaturamo-miúdo,LC
Euphonia chlorotica,Purple-throated Euphonia,fim-fim,LC
Euphonia chlorotica cynophora,,,
Euphonia chlorotica chlorotica,,,
Euphonia chlorotica amazonica,,,
Euphonia chlorotica taczanowskii,,,
Euphonia chlorotica serrirostris,,,
Euphonia finschi,Finsch's Euphonia,gaturamo-capim,LC
Euphonia concinna,Velvet-fronted Euphonia,velvet-fronted euphonia,LC
Euphonia trinitatis,Trinidad Euphonia,trinidad euphonia,LC
Euphonia godmani,West Mexican Euphonia,west mexican euphonia,NE
Euphonia affinis,Scrub Euphonia,scrub euphonia,NE
Euphonia affinis olmecorum,,,
Euphonia affinis affinis,,,
Euphonia luteicapilla,Yellow-crowned Euphonia,yellow-crowned euphonia,LC
Euphonia chrysopasta,White-lored Euphonia,gaturamo-verde,LC
Euphonia chrysopasta chrysopasta,,,
Euphonia chrysopasta nitida,,,
Euphonia minuta,White-vented Euphonia,gaturamo-de-barriga-branca,LC
Euphonia minuta humilis,,,
Euphonia minuta minuta,,,
Euphonia chalybea,Green-chinned Euphonia,cais-cais,LC
Euphonia violacea,Violaceous Euphonia,gaturamo-verdadeiro,LC
Euphonia violacea rodwayi,,,
Euphonia violacea violacea,,,
Euphonia violacea aurantiicollis,,,
Euphonia hirundinacea,Yellow-throated Euphonia,yellow-throated euphonia,LC
Euphonia hirundinacea suttoni,,,
Euphonia hirundinacea caribbaea,,,
Euphonia hirundinacea hirundinacea,,,
Euphonia hirundinacea gnatho,,,
Euphonia laniirostris,Thick-billed Euphonia,gaturamo-de-bico-grosso,LC
Euphonia laniirostris crassirostris,,,
Euphonia laniirostris melanura,,,
Euphonia laniirostris hypoxantha,,,
Euphonia laniirostris zopholega,,,
Euphonia laniirostris laniirostris,,,
Euphonia imitans,Spot-crowned Euphonia,spot-crowned euphonia,LC
Euphonia gouldi,Olive-backed Euphonia,olive-backed euphonia,LC
Euphonia gouldi gouldi,,,
Euphonia gouldi praetermissa,,,
Euphonia fulvicrissa,Fulvous-vented Euphonia,fulvous-vented euphonia,LC
Euphonia fulvicrissa fulvicrissa,,,
Euphonia fulvicrissa omissa,,,
Euphonia fulvicrissa purpurascens,,,
Euphonia anneae,Tawny-capped Euphonia,tawny-capped euphonia,LC
Euphonia anneae anneae,,,
Euphonia anneae rufivertex,,,
Euphonia xanthogaster,Orange-bellied Euphonia,fim-fim-grande,LC
Euphonia xanthogaster oressinoma,,,
Euphonia xanthogaster chocoensis,,,
Euphonia xanthogaster badissima,,,
Euphonia xanthogaster quitensis,,,
Euphonia xanthogaster dilutior,,,
Euphonia xanthogaster cyanonota,,,
Euphonia xanthogaster brunneifrons,,,
Euphonia xanthogaster ruficeps,,,
Euphonia xanthogaster brevirostris,,,
Euphonia xanthogaster exsul,,,
Euphonia xanthogaster xanthogaster,,,
Euphonia mesochrysa,Bronze-green Euphonia,bronze-green euphonia,LC
Euphonia mesochrysa mesochrysa,,,
Euphonia mesochrysa media,,,
Euphonia mesochrysa tavarae,,,
Euphonia cayennensis,Golden-sided Euphonia,gaturamo-preto,LC
Euphonia rufiventris,Rufous-bellied Euphonia,gaturamo-do-norte,LC
Euphonia rufiventris rufiventris,,,
Euphonia rufiventris carnegiei,,,
Euphonia pectoralis,Chestnut-bellied Euphonia,ferro-velho,LC
Mycerobas,,,
Mycerobas icterioides,Black-and-yellow Grosbeak,black-and-yellow grosbeak,LC
Mycerobas affinis,Collared Grosbeak,collared grosbeak,LC
Mycerobas melanozanthos,Spot-winged Grosbeak,spot-winged grosbeak,LC
Mycerobas carnipes,White-winged Grosbeak,white-winged grosbeak,LC
Mycerobas carnipes speculigerus,,,
Mycerobas carnipes carnipes,,,
Hesperiphona,,,
Hesperiphona vespertina,Evening Grosbeak,bico-grossudo-americano,VU
Hesperiphona vespertina vespertina,,,
Hesperiphona vespertina brooksi,,,
Hesperiphona vespertina montana,,,
Hesperiphona abeillei,Hooded Grosbeak,hooded grosbeak,LC
Hesperiphona abeillei pallida,,,
Hesperiphona abeillei saturata,,,
Hesperiphona abeillei abeillei,,,
Hesperiphona abeillei cobanensis,,,
Coccothraustes,,,
Coccothraustes coccothraustes,Hawfinch,bico-grossudo,LC
Coccothraustes coccothraustes coccothraustes,,,
Coccothraustes coccothraustes buvryi,,,
Coccothraustes coccothraustes nigricans,,,
Coccothraustes coccothraustes humii,,,
Coccothraustes coccothraustes shulpini,,,
Coccothraustes coccothraustes japonicus,,,
Eophona,,,
Eophona personata,Japanese Grosbeak,japanese grosbeak,LC
Eophona personata personata,,,
Eophona personata magnirostris,,,
Eophona migratoria,Chinese Grosbeak,yellow-billed grosbeak,LC
Eophona migratoria migratoria,,,
Eophona migratoria sowerbyi,,,
Carpodacus,,,
Carpodacus sipahi,Scarlet Finch,scarlet finch,LC
Carpodacus erythrinus,Common Rosefinch,peito-carmim,LC
Carpodacus erythrinus erythrinus,,,
Carpodacus erythrinus grebnitskii,,,
Carpodacus erythrinus kubanensis,,,
Carpodacus erythrinus ferghanensis,,,
Carpodacus erythrinus roseatus,,,
Carpodacus ferreorostris,Bonin Grosbeak,bonin grosbeak,EX
Carpodacus rhodochlamys,Red-mantled Rosefinch,red-mantled rosefinch,NE
Carpodacus grandis,Blyth's Rosefinch,blyth's rosefinch,NE
Carpodacus waltoni,Pink-rumped Rosefinch,pink-rumped rosefinch,LC
Carpodacus waltoni waltoni,,,
Carpodacus waltoni eos,,,
Carpodacus davidianus,Chinese Beautiful Rosefinch,chinese beautiful rosefinch,NE
Carpodacus pulcherrimus,Himalayan Beautiful Rosefinch,himalayan beautiful rosefinch,NE
Carpodacus pulcherrimus pulcherrimus,,,
Carpodacus pulcherrimus argyrophrys,,,
Carpodacus edwardsii,Dark-rumped Rosefinch,dark-rumped rosefinch,LC
Carpodacus edwardsii edwardsii,,,
Carpodacus edwardsii rubicundus,,,
Carpodacus rodochroa,Pink-browed Rosefinch,pink-browed rosefinch,LC
Carpodacus verreauxii,Sharpe's Rosefinch,sharpe's rosefinch,LC
Carpodacus rodopeplus,Spot-winged Rosefinch,spot-winged rosefinch,LC
Carpodacus vinaceus,Vinaceous Rosefinch,vinaceous rosefinch,LC
Carpodacus formosanus,Taiwan Rosefinch,taiwan rosefinch,NT
Carpodacus synoicus,Sinai Rosefinch,sinai rosefinch,LC
Carpodacus stoliczkae,Pale Rosefinch,pale rosefinch,LC
Carpodacus stoliczkae salimalii,,,
Carpodacus stoliczkae stoliczkae,,,
Carpodacus stoliczkae beicki,,,
Carpodacus roborowskii,Tibetan Rosefinch,tibetan rosefinch,LC
Carpodacus sillemi,Sillem's Rosefinch,sillem's rosefinch,DD
Carpodacus rubicilloides,Streaked Rosefinch,streaked rosefinch,LC
Carpodacus rubicilloides rubicilloides,,,
Carpodacus rubicilloides lucifer,,,
Carpodacus rubicilla,Great Rosefinch,peito-carmim-grande,LC
Carpodacus rubicilla rubicilla,,,
Carpodacus rubicilla diabolicus,,,
Carpodacus rubicilla kobdensis,,,
Carpodacus rubicilla severtzovi,,,
Carpodacus sibiricus,Long-tailed Rosefinch,peito-rosado-rabilongo,NE
Carpodacus sibiricus sibiricus,,,
Carpodacus sibiricus ussuriensis,,,
Carpodacus sibiricus sanguinolentus,,,
Carpodacus sibiricus lepidus,,,
Carpodacus sibiricus henrici,,,
Carpodacus subhimachalus,Crimson-browed Finch,crimson-browed finch,LC
Carpodacus puniceus,Red-fronted Rosefinch,red-fronted rosefinch,LC
Carpodacus puniceus kilianensis,,,
Carpodacus puniceus humii,,,
Carpodacus puniceus puniceus,,,
Carpodacus puniceus sikangensis,,,
Carpodacus puniceus longirostris,,,
Carpodacus roseus,Pallas's Rosefinch,peito-rosado,LC
Carpodacus roseus roseus,,,
Carpodacus roseus portenkoi,,,
Carpodacus trifasciatus,Three-banded Rosefinch,three-banded rosefinch,LC
Carpodacus thura,Himalayan White-browed Rosefinch,himalayan white-browed rosefinch,LC
Carpodacus thura blythi,,,
Carpodacus thura thura,,,
Carpodacus dubius,Chinese White-browed Rosefinch,chinese white-browed rosefinch,LC
Carpodacus dubius femininus,,,
Carpodacus dubius dubius,,,
Carpodacus dubius deserticolor,,,
Melamprosops,,,
Melamprosops phaeosoma,Poo-uli,poo-uli,EX
Oreomystis,,,
Oreomystis bairdi,Akikiki,akikiki,CR
Paroreomyza,,,
Paroreomyza maculata,Oahu Alauahio,oahu alauahio,CR (PE)
Paroreomyza flammea,Kakawahie,kakawahie,EX
Paroreomyza montana,Maui Alauahio,maui alauahio,EN
Paroreomyza montana newtoni,,,
Paroreomyza montana montana,,,
Loxioides,,,
Loxioides bailleui,Palila,palila,CR
Telespiza,,,
Telespiza cantans,Laysan Finch,laysan finch,VU
Telespiza ultima,Nihoa Finch,nihoa finch,CR
Chloridops,,,
Chloridops kona,Kona Grosbeak,kona grosbeak,EX
Rhodacanthis,,,
Rhodacanthis palmeri,Greater Koa Finch,greater koa-finch,EX
Rhodacanthis flaviceps,Lesser Koa Finch,lesser koa-finch,EX
Ciridops,,,
Ciridops anna,Ula-ai-hawane,ula-ai-hawane,EX
Akialoa,,,
Akialoa obscura,Lesser Akialoa,lesser akialoa,EX
Akialoa ellisiana,Oahu Akialoa,oahu akialoa,EX
Akialoa stejnegeri,Kauai Akialoa,kauai akialoa,EX
Akialoa lanaiensis,Maui-nui Akialoa,maui-nui akialoa,EX
Palmeria,,,
Palmeria dolei,Akohekohe,akohekohe,CR
Himatione,,,
Himatione sanguinea,Apapane,apapane,LC
Himatione fraithii,Laysan Honeycreeper,laysan honeycreeper,EX
Drepanis,,,
Drepanis coccinea,Iiwi,iiwi,VU
Drepanis pacifica,Hawaii Mamo,hawaii mamo,EX
Drepanis funerea,Black Mamo,black mamo,EX
Psittirostra,,,
Psittirostra psittacea,Ou,ou,EX
Dysmorodrepanis,,,
Dysmorodrepanis munroi,Lanai Hookbill,lanai hookbill,EX
Pseudonestor,,,
Pseudonestor xanthophrys,Maui Parrotbill,maui parrotbill,CR
Hemignathus,,,
Hemignathus hanapepe,Kauai Nukupuu,kauai nukupuu,EX
Hemignathus lucidus,Oahu Nukupuu,oahu nukupuu,EX
Hemignathus affinis,Maui Nukupuu,maui nukupuu,EX
Hemignathus wilsoni,Akiapolaau,akiapolaau,EN
Magumma,,,
Magumma parva,Anianiau,anianiau,EN
Chlorodrepanis,,,
Chlorodrepanis virens,Hawaii Amakihi,hawaii amakihi,LC
Chlorodrepanis virens wilsoni,,,
Chlorodrepanis virens virens,,,
Chlorodrepanis flava,Oahu Amakihi,oahu amakihi,NT
Chlorodrepanis stejnegeri,Kauai Amakihi,kauai amakihi,EN
Viridonia,,,
Viridonia sagittirostris,Greater Amakihi,greater amakihi,EX
Loxops,,,
Loxops mana,Hawaii Creeper,hawaii creeper,EN
Loxops caeruleirostris,Akekee,akekee,CR
Loxops coccineus,Hawaii Akepa,hawaii akepa,EN
Loxops wolstenholmei,Oahu Akepa,oahu akepa,EX
Loxops ochraceus,Maui Akepa,maui akepa,EX
Pinicola,,,
Pinicola enucleator,Pine Grosbeak,pine grosbeak,LC
Pinicola enucleator enucleator,,,
Pinicola enucleator kamtschatkensis,,,
Pinicola enucleator sakhalinensis,,,
Pinicola enucleator flammula,,,
Pinicola enucleator carlottae,,,
Pinicola enucleator montana,,,
Pinicola enucleator californica,,,
Pinicola enucleator leucura,,,
Pyrrhula,,,
Pyrrhula leucogenis,White-cheeked Bullfinch,white-cheeked bullfinch,LC
Pyrrhula leucogenis leucogenis,,,
Pyrrhula leucogenis steerei,,,
Pyrrhula nipalensis,Brown Bullfinch,brown bullfinch,NE
Pyrrhula nipalensis nipalensis,,,
Pyrrhula nipalensis ricketti,,,
Pyrrhula nipalensis victoriae,,,
Pyrrhula nipalensis waterstradti,,,
Pyrrhula nipalensis uchidai,,,
Pyrrhula murina,Azores Bullfinch,priolo,VU
Pyrrhula pyrrhula,Eurasian Bullfinch,dom-fafe,LC
Pyrrhula pyrrhula pileata,,,
