Scientific_name,English_name_AviList,Portuguese (Brazil),IUCN_Red_List_Category
Netta peposaca,Rosy-billed Pochard,marrecão,LC
Aythya,,,
Aythya nyroca,Ferruginous Duck,pêrra,NT
Aythya innotata,Madagascar Pochard,madagascar pochard,CR
Aythya baeri,Baer's Pochard,baer's pochard,CR
Aythya australis,Hardhead,zarro-australiano,LC
Aythya ferina,Common Pochard,zarro,VU
Aythya valisineria,Canvasback,zarro-grande,LC
Aythya collaris,Ring-necked Duck,caturro,LC
Aythya americana,Redhead,zarro-americano,LC
Aythya fuligula,Tufted Duck,negrinha,LC
Aythya novaeseelandiae,New Zealand Scaup,new zealand scaup,LC
Aythya affinis,Lesser Scaup,negrelho-americano,LC
Aythya marila,Greater Scaup,negrelho,LC
Aythya marila marila,,,
Aythya marila nearctica,,,
Salvadorina,,,
Salvadorina waigiuensis,Salvadori's Teal,salvadori's teal,LC
Lophonetta,,,
Lophonetta specularioides,Crested Duck,crested duck,LC
Lophonetta specularioides alticola,,,
Lophonetta specularioides specularioides,,,
Speculanas,,,
Speculanas specularis,Bronze-winged Duck,spectacled duck,NT
Amazonetta,,,
Amazonetta brasiliensis,Brazilian Teal,marreca-ananaí,LC
Amazonetta brasiliensis brasiliensis,,,
Amazonetta brasiliensis ipecutiri,,,
Tachyeres,,,
Tachyeres patachonicus,Flying Steamer Duck,flying steamer-duck,LC
Tachyeres pteneres,Fuegian Steamer Duck,flightless steamer-duck,LC
Tachyeres brachypterus,Falkland Steamer Duck,falkland steamer-duck,LC
Tachyeres leucocephalus,Chubut Steamer Duck,white-headed steamer-duck,VU
Sibirionetta,,,
Sibirionetta formosa,Baikal Teal,marrequinha-formosa,LC
Spatula,,,
Spatula querquedula,Garganey,marreco,LC
Spatula hottentota,Blue-billed Teal,blue-billed teal,LC
Spatula puna,Puna Teal,puna teal,LC
Spatula versicolor,Silver Teal,marreca-cricri,LC
Spatula versicolor versicolor,,,
Spatula versicolor fretensis,,,
Spatula platalea,Red Shoveler,marreca-colhereira,LC
Spatula discors,Blue-winged Teal,marreca-de-asa-azul,LC
Spatula cyanoptera,Cinnamon Teal,marreca-colorada,LC
Spatula cyanoptera septentrionalium,,,
Spatula cyanoptera tropica,,,
Spatula cyanoptera borreroi,,,
Spatula cyanoptera orinoma,,,
Spatula cyanoptera cyanoptera,,,
Spatula smithii,Cape Shoveler,cape shoveler,LC
Spatula clypeata,Northern Shoveler,pato-colhereiro,LC
Spatula rhynchotis,Australasian Shoveler,australasian shoveler,LC
Spatula rhynchotis rhynchotis,,,
Spatula rhynchotis variegata,,,
Mareca,,,
Mareca falcata,Falcated Duck,pato-falcado,LC
Mareca strepera,Gadwall,frisada,LC
Mareca strepera strepera,,,
Mareca strepera couesi,,,
Mareca marecula,Amsterdam Wigeon,amsterdam duck,EX
Mareca penelope,Eurasian Wigeon,piadeira,LC
Mareca americana,American Wigeon,piadeira-americana,LC
Mareca sibilatrix,Chiloe Wigeon,marreca-oveira,LC
Anas,,,
Anas sparsa,African Black Duck,african black duck,LC
Anas sparsa leucostigma,,,
Anas sparsa sparsa,,,
Anas melleri,Meller's Duck,meller's duck,EN
Anas undulata,Yellow-billed Duck,yellow-billed duck,LC
Anas undulata ruppelli,,,
Anas undulata undulata,,,
Anas luzonica,Philippine Duck,philippine duck,LC
Anas superciliosa,Pacific Black Duck,pato-preto-australiano,LC
Anas superciliosa superciliosa,,,
Anas superciliosa pelewensis,,,
Anas wyvilliana,Hawaiian Duck,hawaiian duck,VU
Anas laysanensis,Laysan Duck,laysan duck,CR
Anas zonorhyncha,Eastern Spot-billed Duck,eastern spot-billed duck,LC
Anas poecilorhyncha,Indian Spot-billed Duck,indian spot-billed duck,LC
Anas poecilorhyncha poecilorhyncha,,,
Anas poecilorhyncha haringtoni,,,
Anas platyrhynchos,Mallard,pato-real,LC
Anas platyrhynchos platyrhynchos,,,
Anas platyrhynchos conboschas,,,
Anas diazi,Mexican Duck,mexican duck,NE
Anas rubripes,American Black Duck,pato-escuro-americano,LC
Anas fulvigula,Mottled Duck,mottled duck,NE
Anas fulvigula fulvigula,,,
Anas fulvigula maculosa,,,
Anas capensis,Cape Teal,marrequinha-de-bico-vermelho,LC
Anas bahamensis,White-cheeked Pintail,marreca-toicinho,LC
Anas bahamensis bahamensis,,,
Anas bahamensis rubrirostris,,,
Anas bahamensis galapagensis,,,
Anas erythrorhyncha,Red-billed Teal,arrabio-de-bico-vermelho,LC
Anas georgica,Yellow-billed Pintail,marreca-parda,LC
Anas georgica niceforoi,,,
Anas georgica spinicauda,,,
Anas georgica georgica,,,
Anas acuta,Northern Pintail,arrabio,LC
Anas eatoni,Eaton's Pintail,eaton's pintail,LC
Anas eatoni drygalskii,,,
Anas eatoni eatoni,,,
Anas crecca,Green-winged Teal,marrequinha,NE
Anas crecca crecca,,,
Anas crecca carolinensis,,,
Anas flavirostris,Yellow-billed Teal,marreca-pardinha,LC
Anas flavirostris oxyptera,,,
Anas flavirostris flavirostris,,,
Anas andium,Andean Teal,andean teal,LC
Anas andium altipetens,,,
Anas andium andium,,,
Anas gibberifrons,Sunda Teal,marrequinha-de-sunda,LC
Anas albogularis,Andaman Teal,andaman teal,NT
Anas castanea,Chestnut Teal,marrequinha-castanha,LC
Anas castanea castanea,,,
Anas castanea alexanderi,,,
Anas gracilis,Grey Teal,gray teal,LC
Anas gracilis gracilis,,,
Anas gracilis remissa,,,
Anas bernieri,Bernier's Teal,bernier's teal,EN
Anas theodori,Mascarene Teal,mauritius duck,EX
Anas chlorotis,Brown Teal,brown teal,NT
Anas aucklandica,Auckland Teal,auckland islands teal,NT
Anas nesiotis,Campbell Teal,campbell islands teal,VU
Galliformes,,,
Megapodiidae,,,
Leipoa,,,
Leipoa ocellata,Malleefowl,malleefowl,VU
Talegalla,,,
Talegalla cuvieri,Red-billed Brushturkey,red-billed brushturkey,LC
Talegalla fuscirostris,Black-billed Brushturkey,yellow-legged brushturkey,LC
Talegalla jobiensis,Collared Brushturkey,red-legged brushturkey,LC
Talegalla jobiensis jobiensis,,,
Talegalla jobiensis longicaudus,,,
Alectura,,,
Alectura lathami,Australian Brushturkey,australian brushturkey,LC
Alectura lathami purpureicollis,,,
Alectura lathami lathami,,,
Aepypodius,,,
Aepypodius bruijnii,Waigeo Brushturkey,waigeo brushturkey,EN
Aepypodius arfakianus,Wattled Brushturkey,wattled brushturkey,LC
Aepypodius arfakianus arfakianus,,,
Aepypodius arfakianus misoliensis,,,
Macrocephalon,,,
Macrocephalon maleo,Maleo,maleo,CR
Eulipoa,,,
Eulipoa wallacei,Moluccan Megapode,moluccan megapode,VU
Megapodius,,,
Megapodius pritchardii,Tongan Megapode,tongan megapode,VU
Megapodius laperouse,Micronesian Megapode,micronesian megapode,NT
Megapodius laperouse senex,,,
Megapodius laperouse laperouse,,,
Megapodius nicobariensis,Nicobar Megapode,nicobar megapode,VU
Megapodius nicobariensis nicobariensis,,,
Megapodius nicobariensis abbotti,,,
Megapodius cumingii,Philippine Megapode,philippine megapode,LC
Megapodius cumingii cumingii,,,
Megapodius cumingii dillwyni,,,
Megapodius cumingii pusillus,,,
Megapodius cumingii tabon,,,
Megapodius cumingii gilbertii,,,
Megapodius cumingii sanghirensis,,,
Megapodius cumingii talautensis,,,
Megapodius bernsteinii,Sula Megapode,sula megapode,VU
Megapodius tenimberensis,Tanimbar Megapode,tanimbar megapode,VU
Megapodius freycinet,Dusky Megapode,dusky megapode,LC
Megapodius freycinet quoyii,,,
Megapodius freycinet freycinet,,,
Megapodius freycinet oustaleti,,,
Megapodius freycinet forsteni,,,
Megapodius freycinet buruensis,,,
Megapodius geelvinkianus,Biak Scrubfowl,biak megapode,NT
Megapodius eremita,Melanesian Megapode,melanesian megapode,LC
Megapodius layardi,Vanuatu Megapode,vanuatu megapode,LC
Megapodius decollatus,New Guinea Scrubfowl,new guinea megapode,LC
Megapodius reinwardt,Orange-footed Scrubfowl,galinha-do-mato-de-reinwardt,LC
Megapodius reinwardt reinwardt,,,
Megapodius reinwardt macgillivrayi,,,
Megapodius reinwardt tumulus,,,
Megapodius reinwardt yorki,,,
Megapodius reinwardt castanonotus,,,
