Scientific_name,English_name_AviList,Romanian,IUCN_Red_List_Category
Branta hutchinsii minima,,,
Branta hutchinsii taverneri,,,
Branta hutchinsii hutchinsii,,,
Anser,,,
Anser indicus,Bar-headed Goose,Gâscă de India,LC
Anser canagicus,Emperor Goose,Gâscă imperială,LC
Anser rossii,Ross's Goose,Gâscă polară,LC
Anser caerulescens,Snow Goose,Gâscă de zăpadă,LC
Anser caerulescens caerulescens,,,
Anser caerulescens atlanticus,,,
Anser anser,Greylag Goose,Gâscă de vară,LC
Anser anser anser,,,
Anser anser rubrirostris,,,
Anser cygnoides,Swan Goose,Gâscă lebădă,EN
Anser erythropus,Lesser White-fronted Goose,Gârliță mică,VU
Anser albifrons,Greater White-fronted Goose,Gârliță mare,LC
Anser albifrons flavirostris,,,
Anser albifrons albifrons,,,
Anser albifrons elgasi,,,
Anser albifrons gambelli,,,
Anser albifrons sponsa,,,
Anser serrirostris,Tundra Bean Goose,Gâscă de semănătură de tundră,NE
Anser serrirostris rossicus,,,
Anser serrirostris serrirostris,,,
Anser brachyrhynchus,Pink-footed Goose,Gâscă cu cioc scurt,LC
Anser fabalis,Taiga Bean Goose,Gâscă de semănătură de taiga,NE
Anser fabalis fabalis,,,
Anser fabalis johanseni,,,
Anser fabalis middendorffii,,,
Merganetta,,,
Merganetta armata,Torrent Duck,Torrent Duck,LC
Merganetta armata colombiana,,,
Merganetta armata leucogenis,,,
Merganetta armata turneri,,,
Merganetta armata garleppi,,,
Merganetta armata berlepschi,,,
Merganetta armata armata,,,
Callonetta,,,
Callonetta leucophrys,Ringed Teal,Ringed Teal,LC
Cairina,,,
Cairina moschata,Muscovy Duck,Rață leșească,LC
Aix,,,
Aix galericulata,Mandarin Duck,Rață mandarin,LC
Aix sponsa,Wood Duck,Rață de pădure,LC
Neochen,,,
Neochen jubata,Orinoco Goose,Orinoco Goose,LC
Chloephaga,,,
Chloephaga melanoptera,Andean Goose,Andean Goose,LC
Chloephaga picta,Upland Goose,Upland Goose,LC
Chloephaga picta picta,,,
Chloephaga picta leucoptera,,,
Chloephaga hybrida,Kelp Goose,Kelp Goose,LC
Chloephaga hybrida hybrida,,,
Chloephaga hybrida malvinarum,,,
Chloephaga poliocephala,Ashy-headed Goose,Ashy-headed Goose,LC
