Scientific_name,English_name_AviList,Romanian,IUCN_Red_List_Category
Sigelus silens lawsoni,,,
Sigelus silens silens,,,
Melaenornis,,,
Melaenornis ardesiacus,Yellow-eyed Black Flycatcher,Yellow-eyed Black-Flycatcher,LC
Melaenornis annamarulae,Nimba Flycatcher,Nimba Flycatcher,VU
Melaenornis edolioides,Northern Black Flycatcher,Northern Black-Flycatcher,LC
Melaenornis edolioides edolioides,,,
Melaenornis edolioides lugubris,,,
Melaenornis edolioides schistaceus,,,
Melaenornis pammelaina,Southern Black Flycatcher,Southern Black-Flycatcher,LC
Melaenornis pammelaina pammelaina,,,
Melaenornis pammelaina diabolicus,,,
Melaenornis fischeri,White-eyed Slaty Flycatcher,White-eyed Slaty-Flycatcher,LC
Melaenornis fischeri toruensis,,,
Melaenornis fischeri semicinctus,,,
Melaenornis fischeri nyikensis,,,
Melaenornis fischeri fischeri,,,
Melaenornis brunneus,Angola Slaty Flycatcher,Angola Slaty-Flycatcher,LC
Melaenornis brunneus brunneus,,,
Melaenornis brunneus bailunduensis,,,
Melaenornis chocolatinus,Abyssinian Slaty Flycatcher,Abyssinian Slaty-Flycatcher,LC
Melaenornis chocolatinus chocolatinus,,,
Melaenornis chocolatinus reichenowi,,,
Myopornis,,,
Myopornis boehmi,Böhm's Flycatcher,Böhm's Flycatcher,LC
Artomyias,,,
Artomyias ussheri,Ussher's Flycatcher,Ussher's Flycatcher,LC
Artomyias fuliginosa,Sooty Flycatcher,Sooty Flycatcher,LC
Artomyias fuliginosa fuliginosa,,,
Artomyias fuliginosa minuscula,,,
Bradornis,,,
Bradornis comitatus,Dusky-blue Flycatcher,Dusky-blue Flycatcher,LC
Bradornis comitatus aximensis,,,
Bradornis comitatus camerunensis,,,
Bradornis comitatus comitatus,,,
Bradornis mariquensis,Marico Flycatcher,Marico Flycatcher,LC
Bradornis mariquensis acaciae,,,
Bradornis mariquensis mariquensis,,,
Bradornis mariquensis territinctus,,,
Bradornis microrhynchus,African Grey Flycatcher,African Gray Flycatcher,LC
Bradornis microrhynchus microrhynchus,,,
Bradornis microrhynchus neumanni,,,
Bradornis microrhynchus burae,,,
Bradornis microrhynchus taruensis,,,
Bradornis microrhynchus pumilus,,,
Humblotia,,,
Humblotia flavirostris,Humblot's Flycatcher,Grande Comore Flycatcher,VU
Muscicapa,,,
Muscicapa griseisticta,Grey-streaked Flycatcher,Gray-streaked Flycatcher,LC
Muscicapa ferruginea,Ferruginous Flycatcher,Ferruginous Flycatcher,LC
Muscicapa sibirica,Dark-sided Flycatcher,Dark-sided Flycatcher,LC
Muscicapa sibirica sibirica,,,
Muscicapa sibirica gulmergi,,,
Muscicapa sibirica cacabata,,,
Muscicapa sibirica rothschildi,,,
Muscicapa dauurica,Asian Brown Flycatcher,Muscar brun,NE
Muscicapa dauurica dauurica,,,
Muscicapa dauurica poonensis,,,
Muscicapa dauurica siamensis,,,
Muscicapa randi,Ashy-breasted Flycatcher,Ashy-breasted Flycatcher,VU
Muscicapa segregata,Sumba Brown Flycatcher,Sumba Brown Flycatcher,NT
Muscicapa muttui,Brown-breasted Flycatcher,Brown-breasted Flycatcher,LC
Muscicapa sodhii,Sulawesi Streaked Flycatcher,Sulawesi Brown Flycatcher,NE
Muscicapa williamsoni,Brown-streaked Flycatcher,Brown-streaked Flycatcher,NE
Muscicapa williamsoni williamsoni,,,
Muscicapa williamsoni umbrosa,,,
Muscicapa adusta,African Dusky Flycatcher,African Dusky Flycatcher,LC
Muscicapa adusta poensis,,,
Muscicapa adusta pumila,,,
Muscicapa adusta minima,,,
Muscicapa adusta subadusta,,,
Muscicapa adusta marsabit,,,
Muscicapa adusta murina,,,
Muscicapa adusta fuelleborni,,,
Muscicapa adusta mesica,,,
Muscicapa adusta fuscula,,,
Muscicapa adusta adusta,,,
Muscicapa epulata,Little Grey Flycatcher,Little Flycatcher,LC
Muscicapa sethsmithi,Yellow-footed Flycatcher,Yellow-footed Flycatcher,LC
Muscicapa striata,Spotted Flycatcher,Muscar sur,LC
Muscicapa striata striata,,,
Muscicapa striata inexpectata,,,
Muscicapa striata neumanni,,,
Muscicapa striata sarudnyi,,,
Muscicapa striata mongola,,,
Muscicapa striata balearica,,,
Muscicapa striata tyrrhenica,,,
Muscicapa gambagae,Gambaga Flycatcher,Gambaga Flycatcher,LC
Muscicapa cassini,Cassin's Flycatcher,Cassin's Flycatcher,LC
Muscicapa aquatica,Swamp Flycatcher,Swamp Flycatcher,LC
Muscicapa aquatica aquatica,,,
Muscicapa aquatica infulata,,,
Muscicapa aquatica lualabae,,,
Muscicapa aquatica grimwoodi,,,
Leucoptilon,,,
Leucoptilon concretum,White-tailed Flycatcher,White-tailed Flycatcher,LC
Leucoptilon concretum cyaneum,,,
Leucoptilon concretum concretum,,,
Leucoptilon concretum everetti,,,
Sholicola,,,
Sholicola major,Nilgiri Blue Robin,Nilgiri Sholakili,NT
Sholicola albiventris,White-bellied Blue Robin,White-bellied Sholakili,NT
Sholicola albiventris albiventris,,,
Sholicola albiventris ashambuensis,,,
Niltava,,,
Niltava grandis,Large Niltava,Large Niltava,LC
Niltava grandis grandis,,,
Niltava grandis griseiventris,,,
Niltava grandis decorata,,,
Niltava grandis decipiens,,,
Niltava macgrigoriae,Small Niltava,Small Niltava,LC
Niltava macgrigoriae macgrigoriae,,,
Niltava macgrigoriae signata,,,
Niltava davidi,Fujian Niltava,Fujian Niltava,LC
Niltava sundara,Rufous-bellied Niltava,Rufous-bellied Niltava,LC
Niltava sundara whistleri,,,
Niltava sundara sundara,,,
Niltava sundara denotata,,,
Niltava sumatrana,Rufous-vented Niltava,Rufous-vented Niltava,LC
Niltava oatesi,Chinese Vivid Niltava,Chinese Vivid Niltava,LC
Niltava vivida,Taiwan Vivid Niltava,Taiwan Vivid Niltava,LC
Cyanoptila,,,
Cyanoptila cumatilis,Zappey's Flycatcher,Zappey's Flycatcher,NT
Cyanoptila cyanomelana,Blue-and-white Flycatcher,Blue-and-white Flycatcher,LC
Cyanoptila cyanomelana intermedia,,,
Cyanoptila cyanomelana cyanomelana,,,
Eumyias,,,
Eumyias sanfordi,Matinan Blue Flycatcher,Matinan Flycatcher,LC
Eumyias hoevelli,Blue-fronted Blue Flycatcher,Blue-fronted Flycatcher,LC
Eumyias hyacinthinus,Timor Blue Flycatcher,Timor Blue Flycatcher,LC
Eumyias hyacinthinus hyacinthinus,,,
Eumyias hyacinthinus kuehni,,,
Eumyias oscillans,Flores Jungle Flycatcher,Flores Jungle Flycatcher,LC
Eumyias stresemanni,Sumba Jungle Flycatcher,Sumba Jungle Flycatcher,NT
Eumyias sordidus,Dull-blue Flycatcher,Dull-blue Flycatcher,NT
Eumyias albicaudatus,Nilgiri Flycatcher,Nilgiri Flycatcher,LC
Eumyias indigo,Indigo Flycatcher,Indigo Flycatcher,LC
Eumyias indigo ruficrissa,,,
Eumyias indigo indigo,,,
Eumyias indigo cerviniventris,,,
Eumyias thalassinus,Verditer Flycatcher,Verditer Flycatcher,LC
Eumyias thalassinus thalassinus,,,
Eumyias thalassinus thalassoides,,,
Eumyias additus,Buru Jungle Flycatcher,Buru Jungle Flycatcher,NT
Eumyias panayensis,Turquoise Flycatcher,Turquoise Flycatcher,LC
Eumyias panayensis nigrimentalis,,,
Eumyias panayensis panayensis,,,
Eumyias panayensis nigriloris,,,
Eumyias panayensis septentrionalis,,,
Eumyias panayensis meridionalis,,,
Eumyias panayensis obiensis,,,
Eumyias panayensis harterti,,,
Anthipes,,,
Anthipes solitaris,Rufous-browed Flycatcher,Rufous-browed Flycatcher,LC
Anthipes solitaris submoniliger,,,
Anthipes solitaris malayana,,,
Anthipes solitaris solitaris,,,
Anthipes monileger,White-gorgeted Flycatcher,White-gorgeted Flycatcher,LC
Anthipes monileger monileger,,,
Anthipes monileger leucops,,,
Anthipes monileger gularis,,,
Cyornis,,,
Cyornis ruckii,Rück's Blue Flycatcher,Rück's Blue Flycatcher,CR
Cyornis herioti,Blue-breasted Blue Flycatcher,Blue-breasted Blue Flycatcher,NT
Cyornis camarinensis,Rufous-breasted Blue Flycatcher,Rufous-breasted Blue Flycatcher,NT
Cyornis hainanus,Hainan Blue Flycatcher,Hainan Blue Flycatcher,NE
Cyornis hainanus hainanus,,,
Cyornis hainanus dialilaemus,,,
Cyornis hainanus klossi,,,
Cyornis pallidipes,White-bellied Blue Flycatcher,White-bellied Blue Flycatcher,LC
Cyornis poliogenys,Pale-chinned Flycatcher,Pale-chinned Flycatcher,LC
Cyornis poliogenys poliogenys,,,
Cyornis poliogenys cachariensis,,,
Cyornis poliogenys laurentei,,,
Cyornis poliogenys vernayi,,,
Cyornis unicolor,Pale Blue Flycatcher,Pale Blue Flycatcher,LC
Cyornis unicolor unicolor,,,
Cyornis unicolor diaoluoensis,,,
Cyornis unicolor cyanopolia,,,
Cyornis rubeculoides,Blue-throated Blue Flycatcher,Blue-throated Flycatcher,NE
Cyornis rubeculoides rubeculoides,,,
Cyornis rubeculoides rogersi,,,
Cyornis glaucicomans,Chinese Blue Flycatcher,Chinese Blue Flycatcher,LC
Cyornis magnirostris,Large Blue Flycatcher,Large Blue Flycatcher,NT
Cyornis whitei,Hill Blue Flycatcher,Hill Blue Flycatcher,LC
Cyornis whitei whitei,,,
Cyornis whitei lekhakuni,,,
Cyornis whitei deignani,,,
Cyornis whitei coerulifrons,,,
Cyornis banyumas,Javan Blue Flycatcher,Javan Blue Flycatcher,CR
Cyornis banyumas ligus,,,
Cyornis banyumas banyumas,,,
Cyornis banyumas mardii,,,
Cyornis montanus,Dayak Blue Flycatcher,Dayak Blue Flycatcher,LC
Cyornis kadayangensis,Meratus Blue Flycatcher,Meratus Blue Flycatcher,NT
Cyornis caerulatus,Sunda Blue Flycatcher,Sunda Blue Flycatcher,VU
Cyornis caerulatus albiventer,,,
Cyornis caerulatus rufifrons,,,
Cyornis caerulatus caerulatus,,,
Cyornis turcosus,Malaysian Blue Flycatcher,Malaysian Blue Flycatcher,NT
Cyornis lemprieri,Palawan Blue Flycatcher,Palawan Blue Flycatcher,NT
Cyornis superbus,Bornean Blue Flycatcher,Bornean Blue Flycatcher,LC
Cyornis tickelliae,Tickell's Blue Flycatcher,Tickell's Blue Flycatcher,LC
Cyornis tickelliae tickelliae,,,
Cyornis tickelliae jerdoni,,,
Cyornis sumatrensis,Indochinese Blue Flycatcher,Indochinese Blue Flycatcher,LC
Cyornis sumatrensis sumatrensis,,,
Cyornis sumatrensis indochina,,,
Cyornis sumatrensis lamprus,,,
Cyornis rufigastra,Mangrove Blue Flycatcher,Mangrove Blue Flycatcher,LC
Cyornis rufigastra rufigastra,,,
Cyornis rufigastra longipennis,,,
Cyornis rufigastra rhizophorae,,,
Cyornis rufigastra karimatensis,,,
Cyornis rufigastra simplex,,,
Cyornis rufigastra marinduquensis,,,
Cyornis rufigastra philippinensis,,,
Cyornis rufigastra mindorensis,,,
Cyornis omissus,Sulawesi Blue Flycatcher,Sulawesi Blue Flycatcher,NE
Cyornis omissus omissus,,,
Cyornis omissus omississimus,,,
Cyornis omissus peromissus,,,
Cyornis omissus djampeanus,,,
Cyornis kalaoensis,Kalao Blue Flycatcher,Kalao Blue Flycatcher,NE
Cyornis brunneatus,Brown-chested Jungle Flycatcher,Brown-chested Jungle Flycatcher,VU
Cyornis nicobaricus,Nicobar Jungle Flycatcher,Nicobar Jungle Flycatcher,NT
Cyornis umbratilis,Grey-chested Jungle Flycatcher,Gray-chested Jungle Flycatcher,NT
Cyornis olivaceus,Fulvous-chested Jungle Flycatcher,Fulvous-chested Jungle Flycatcher,LC
Cyornis olivaceus olivaceus,,,
Cyornis olivaceus perolivaceus,,,
Cyornis ruficauda,Philippine Jungle Flycatcher,Philippine Jungle Flycatcher,NE
Cyornis ruficauda ruficauda,,,
Cyornis ruficauda zamboanga,,,
Cyornis ruficauda boholensis,,,
Cyornis ruficauda samarensis,,,
Cyornis ocularis,Sulu Jungle Flycatcher,Sulu Jungle Flycatcher,NE
Cyornis ruficrissa,Crocker Jungle Flycatcher,Crocker Jungle Flycatcher,NE
Cyornis ruficrissa ruficrissa,,,
Cyornis ruficrissa isola,,,
Cyornis pelingensis,Banggai Jungle Flycatcher,Banggai Jungle Flycatcher,NT
Cyornis colonus,Sula Jungle Flycatcher,Sula Jungle Flycatcher,NT
Erithacus,,,
Erithacus rubecula,European Robin,Măcăleandru,LC
Erithacus rubecula melophilus,,,
Erithacus rubecula rubecula,,,
Erithacus rubecula superbus,,,
Erithacus rubecula marionae,,,
Erithacus rubecula witherbyi,,,
Erithacus rubecula valens,,,
Erithacus rubecula caucasicus,,,
Erithacus rubecula hyrcanus,,,
Erithacus rubecula tataricus,,,
Swynnertonia,,,
Swynnertonia swynnertoni,Swynnerton's Robin,Swynnerton's Robin,NT
Swynnertonia swynnertoni swynnertoni,,,
Swynnertonia swynnertoni rodgersi,,,
Pogonocichla,,,
Pogonocichla stellata,White-starred Robin,White-starred Robin,LC
Pogonocichla stellata pallidiflava,,,
Pogonocichla stellata intensa,,,
Pogonocichla stellata ruwenzorii,,,
Pogonocichla stellata elgonensis,,,
Pogonocichla stellata guttifer,,,
Pogonocichla stellata macarthuri,,,
Pogonocichla stellata helleri,,,
Pogonocichla stellata orientalis,,,
Pogonocichla stellata transvaalensis,,,
Pogonocichla stellata stellata,,,
Stiphrornis,,,
Stiphrornis pyrrholaemus,Olive-backed Forest Robin,Olive-backed Forest Robin,LC
Stiphrornis erythrothorax,Orange-breasted Forest Robin,Orange-breasted Forest Robin,NE
Stiphrornis erythrothorax erythrothorax,,,
Stiphrornis erythrothorax gabonensis,,,
Stiphrornis erythrothorax dahomeyensis,,,
Stiphrornis erythrothorax inexpectatus,,,
Stiphrornis erythrothorax xanthogaster,,,
Stiphrornis mabirae,Yellow-breasted Forest Robin,Yellow-breasted Forest Robin,NE
Stiphrornis mabirae sanghensis,,,
Stiphrornis mabirae mabirae,,,
Cossyphicula,,,
Cossyphicula roberti,White-bellied Robin-Chat,White-bellied Robin-Chat,LC
Cossyphicula roberti roberti,,,
Cossyphicula roberti rufescentior,,,
Cossyphicula isabellae,Mountain Robin-Chat,Mountain Robin-Chat,LC
Cossyphicula isabellae batesi,,,
Cossyphicula isabellae isabellae,,,
Chamaetylas,,,
Chamaetylas poliocephala,Brown-chested Alethe,Brown-chested Alethe,LC
Chamaetylas poliocephala poliocephala,,,
Chamaetylas poliocephala compsonota,,,
Chamaetylas poliocephala hallae,,,
Chamaetylas poliocephala giloensis,,,
Chamaetylas poliocephala carruthersi,,,
Chamaetylas poliocephala akeleyae,,,
Chamaetylas poliocephala vandeweghei,,,
Chamaetylas poliocephala kungwensis,,,
Chamaetylas poliocephala ufipae,,,
Chamaetylas poliophrys,Red-throated Alethe,Red-throated Alethe,LC
Chamaetylas poliophrys poliophrys,,,
Chamaetylas poliophrys kaboboensis,,,
Chamaetylas choloensis,Thyolo Alethe,Thyolo Alethe,VU
Chamaetylas choloensis choloensis,,,
Chamaetylas choloensis namuli,,,
Chamaetylas fuelleborni,White-chested Alethe,White-chested Alethe,LC
Cossypha,,,
Cossypha cyanocampter,Blue-shouldered Robin-Chat,Blue-shouldered Robin-Chat,LC
Cossypha cyanocampter cyanocampter,,,
Cossypha cyanocampter bartteloti,,,
Cossypha semirufa,Rüppell's Robin-Chat,Rüppell's Robin-Chat,LC
Cossypha semirufa semirufa,,,
Cossypha semirufa donaldsoni,,,
Cossypha semirufa intercedens,,,
Cossypha heuglini,White-browed Robin-Chat,White-browed Robin-Chat,LC
Cossypha heuglini subrufescens,,,
Cossypha heuglini heuglini,,,
Cossypha heuglini intermedia,,,
Cossypha natalensis,Red-capped Robin-Chat,Red-capped Robin-Chat,LC
Cossypha natalensis larischi,,,
Cossypha natalensis intensa,,,
Cossypha natalensis natalensis,,,
Cossypha dichroa,Chorister Robin-Chat,Chorister Robin-Chat,LC
Cossypha dichroa dichroa,,,
Cossypha dichroa mimica,,,
Cossypha heinrichi,White-headed Robin-Chat,White-headed Robin-Chat,LC
Cossypha niveicapilla,Snowy-crowned Robin-Chat,Snowy-crowned Robin-Chat,LC
Cossypha niveicapilla niveicapilla,,,
Cossypha niveicapilla melanonota,,,
Cossypha albicapillus,White-crowned Robin-Chat,White-crowned Robin-Chat,LC
Cossypha albicapillus albicapillus,,,
Cossypha albicapillus giffardi,,,
Cossypha albicapillus omoensis,,,
Cichladusa,,,
Cichladusa arquata,Collared Palm Thrush,Collared Palm-Thrush,LC
Cichladusa ruficauda,Rufous-tailed Palm Thrush,Rufous-tailed Palm-Thrush,LC
Cichladusa guttata,Spotted Palm Thrush,Spotted Morning-Thrush,LC
Cichladusa guttata guttata,,,
Cichladusa guttata intercalans,,,
Cichladusa guttata rufipennis,,,
Xenocopsychus,,,
Xenocopsychus ansorgei,Angola Cave Chat,Angola Cave-Chat,LC
Dessonornis,,,
Dessonornis archeri,Archer's Ground Robin,Archer's Robin-Chat,LC
Dessonornis archeri archeri,,,
Dessonornis archeri kimbutui,,,
Dessonornis anomalus,Olive-flanked Ground Robin,Olive-flanked Robin-Chat,NE
Dessonornis anomalus grotei,,,
Dessonornis anomalus anomalus,,,
Dessonornis anomalus macclounii,,,
Dessonornis anomalus mbuluensis,,,
Dessonornis caffer,Cape Robin-Chat,Cape Robin-Chat,LC
Dessonornis caffer iolaemus,,,
Dessonornis caffer kivuensis,,,
Dessonornis caffer caffer,,,
Dessonornis caffer namaquensis,,,
Dessonornis humeralis,White-throated Robin-Chat,White-throated Robin-Chat,LC
Sheppardia,,,
Sheppardia polioptera,Grey-winged Robin-Chat,Gray-winged Robin-Chat,LC
Sheppardia polioptera polioptera,,,
Sheppardia polioptera nigriceps,,,
Sheppardia polioptera tessmanni,,,
Sheppardia poensis,Short-tailed Akalat,Short-tailed Akalat,LC
Sheppardia poensis granti,,,
Sheppardia poensis poensis,,,
Sheppardia poensis kungwensis,,,
Sheppardia poensis kaboboensis,,,
Sheppardia poensis schoutedeni,,,
Sheppardia bocagei,Bocage's Akalat,Bocage's Akalat,LC
Sheppardia bocagei ilyai,,,
Sheppardia bocagei chapini,,,
Sheppardia bocagei bocagei,,,
Sheppardia cyornithopsis,Lowland Akalat,Lowland Akalat,LC
Sheppardia cyornithopsis houghtoni,,,
Sheppardia cyornithopsis cyornithopsis,,,
Sheppardia cyornithopsis lopezi,,,
Sheppardia aequatorialis,Equatorial Akalat,Equatorial Akalat,LC
Sheppardia aequatorialis acholiensis,,,
Sheppardia aequatorialis aequatorialis,,,
Sheppardia sharpei,Sharpe's Akalat,Sharpe's Akalat,LC
Sheppardia sharpei usambarae,,,
Sheppardia sharpei sharpei,,,
Sheppardia gunningi,East Coast Akalat,East Coast Akalat,NT
Sheppardia gunningi sokokensis,,,
Sheppardia gunningi alticola,,,
Sheppardia gunningi bensoni,,,
Sheppardia gunningi gunningi,,,
Sheppardia gabela,Gabela Akalat,Gabela Akalat,EN
Sheppardia montana,Usambara Akalat,Usambara Akalat,EN
Sheppardia lowei,Iringa Akalat,Iringa Akalat,NT
Sheppardia aurantiithorax,Rubeho Akalat,Rubeho Akalat,EN
Irania,,,
Irania gutturalis,White-throated Robin,Măcăleandru cu gât alb,LC
Luscinia,,,
Luscinia luscinia,Thrush Nightingale,Privighetoare de zăvoi,LC
Luscinia megarhynchos,Common Nightingale,Privighetoare roșcată,LC
Luscinia megarhynchos megarhynchos,,,
Luscinia megarhynchos africana,,,
Luscinia megarhynchos golzii,,,
Luscinia phaenicuroides,White-bellied Redstart,White-bellied Redstart,LC
Luscinia phaenicuroides phaenicuroides,,,
Luscinia phaenicuroides ichangensis,,,
Luscinia svecica,Bluethroat,Gușă vânătă,LC
Luscinia svecica svecica,,,
Luscinia svecica namnetum,,,
Luscinia svecica cyanecula,,,
Luscinia svecica azuricollis,,,
Luscinia svecica volgae,,,
Luscinia svecica magna,,,
Luscinia svecica pallidogularis,,,
Luscinia svecica abbotti,,,
Luscinia svecica saturatior,,,
Luscinia svecica kobdensis,,,
Luscinia svecica przevalskii,,,
Calliope,,,
Calliope pectardens,Firethroat,Firethroat,NT
Calliope obscura,Blackthroat,Blackthroat,VU
Calliope calliope,Siberian Rubythroat,Gușă roșie siberiană,LC
Calliope calliope calliope,,,
Calliope calliope camtschatkensis,,,
Calliope calliope beicki,,,
Calliope pectoralis,Himalayan Rubythroat,Himalayan Rubythroat,LC
Calliope pectoralis ballioni,,,
Calliope pectoralis pectoralis,,,
Calliope pectoralis confusa,,,
Calliope tschebaiewi,Chinese Rubythroat,Chinese Rubythroat,LC
Myiomela,,,
Myiomela leucura,White-tailed Robin,White-tailed Robin,NE
Myiomela leucura leucura,,,
Myiomela leucura montium,,,
Myiomela leucura cambodiana,,,
Myiomela sumatrana,Sumatran Blue Robin,Sumatran Robin,NE
Myiomela diana,Javan Blue Robin,Javan Robin,NE
Enicurus,,,
Enicurus scouleri,Little Forktail,Little Forktail,LC
Enicurus leschenaulti,White-crowned Forktail,White-crowned Forktail,NE
Enicurus leschenaulti indicus,,,
Enicurus leschenaulti sinensis,,,
Enicurus leschenaulti frontalis,,,
Enicurus leschenaulti chaseni,,,
Enicurus leschenaulti leschenaulti,,,
Enicurus borneensis,Bornean Forktail,Bornean Forktail,NE
Enicurus maculatus,Spotted Forktail,Spotted Forktail,LC
Enicurus maculatus maculatus,,,
Enicurus maculatus guttatus,,,
Enicurus maculatus bacatus,,,
Enicurus maculatus robinsoni,,,
Enicurus velatus,Sunda Forktail,Sunda Forktail,LC
Enicurus velatus sumatranus,,,
Enicurus velatus velatus,,,
Enicurus ruficapillus,Chestnut-naped Forktail,Chestnut-naped Forktail,NT
Enicurus immaculatus,Black-backed Forktail,Black-backed Forktail,LC
Enicurus schistaceus,Slaty-backed Forktail,Slaty-backed Forktail,LC
Cinclidium,,,
Cinclidium frontale,Blue-fronted Robin,Blue-fronted Robin,LC
Cinclidium frontale frontale,,,
Cinclidium frontale orientale,,,
Myophonus,,,
Myophonus blighi,Sri Lanka Whistling Thrush,Sri Lanka Whistling-Thrush,EN
Myophonus melanurus,Shiny Whistling Thrush,Shiny Whistling-Thrush,LC
Myophonus glaucinus,Javan Whistling Thrush,Javan Whistling-Thrush,LC
Myophonus castaneus,Brown-winged Whistling Thrush,Sumatran Whistling-Thrush,LC
Myophonus borneensis,Bornean Whistling Thrush,Bornean Whistling-Thrush,LC
Myophonus robinsoni,Malayan Whistling Thrush,Malayan Whistling-Thrush,NT
Myophonus horsfieldii,Malabar Whistling Thrush,Malabar Whistling-Thrush,LC
Myophonus insularis,Taiwan Whistling Thrush,Taiwan Whistling-Thrush,LC
Myophonus caeruleus,Blue Whistling Thrush,Blue Whistling-Thrush,LC
Myophonus caeruleus temminckii,,,
Myophonus caeruleus caeruleus,,,
Myophonus caeruleus eugenei,,,
Myophonus caeruleus crassirostris,,,
Myophonus caeruleus dichrorhynchus,,,
Myophonus caeruleus flavirostris,,,
Heinrichia,,,
Heinrichia calligyna,Great Shortwing,Great Shortwing,NE
Heinrichia calligyna simplex,,,
Heinrichia calligyna calligyna,,,
Heinrichia calligyna picta,,,
Leonardina,,,
Leonardina woodi,Bagobo Babbler,Bagobo Robin,LC
Vauriella,,,
Vauriella gularis,Eyebrowed Jungle Flycatcher,Eyebrowed Jungle Flycatcher,LC
Vauriella insignis,White-browed Jungle Flycatcher,Rusty-flanked Jungle Flycatcher,LC
Vauriella albigularis,White-throated Jungle Flycatcher,Negros Jungle Flycatcher,VU
Vauriella goodfellowi,Slaty-backed Jungle Flycatcher,Mindanao Jungle Flycatcher,NT
Larvivora,,,
Larvivora brunnea,Indian Blue Robin,Indian Blue Robin,LC
Larvivora brunnea brunnea,,,
Larvivora brunnea wickhami,,,
Larvivora cyane,Siberian Blue Robin,Privighetoare albastră,LC
Larvivora cyane bochaiensis,,,
Larvivora cyane cyane,,,
Larvivora cyane nechaevi,,,
Larvivora akahige,Japanese Robin,Japanese Robin,LC
Larvivora tanensis,Izu Robin,Izu Robin,VU
Larvivora komadori,Ryukyu Robin,Ryukyu Robin,NT
Larvivora namiyei,Okinawa Robin,Okinawa Robin,LC
Larvivora sibilans,Rufous-tailed Robin,Privighetoare cu coadă roșcată,LC
Larvivora ruficeps,Rufous-headed Robin,Rufous-headed Robin,EN
Brachypteryx,,,
Brachypteryx hyperythra,Rusty-bellied Shortwing,Rusty-bellied Shortwing,NT
Brachypteryx leucophris,Lesser Shortwing,Lesser Shortwing,LC
Brachypteryx leucophris nipalensis,,,
Brachypteryx leucophris carolinae,,,
Brachypteryx leucophris langbianensis,,,
Brachypteryx leucophris wrayi,,,
Brachypteryx leucophris leucophris,,,
Brachypteryx cruralis,Himalayan Shortwing,Himalayan Shortwing,LC
Brachypteryx sinensis,Chinese Shortwing,Chinese Shortwing,LC
Brachypteryx goodfellowi,Taiwan Shortwing,Taiwan Shortwing,LC
Brachypteryx poliogyna,Philippine Shortwing,Philippine Shortwing,LC
Brachypteryx poliogyna sillimani,,,
Brachypteryx poliogyna poliogyna,,,
Brachypteryx poliogyna andersoni,,,
Brachypteryx poliogyna mindorensis,,,
Brachypteryx poliogyna brunneiceps,,,
Brachypteryx poliogyna malindangensis,,,
Brachypteryx poliogyna mindanensis,,,
Brachypteryx erythrogyna,Bornean Shortwing,Bornean Shortwing,LC
Brachypteryx saturata,Sumatran Shortwing,Sumatran Shortwing,LC
Brachypteryx montana,Javan Shortwing,Javan Shortwing,LC
Brachypteryx floris,Flores Shortwing,Flores Shortwing,LC
Ficedula,,,
Ficedula zanthopygia,Yellow-rumped Flycatcher,Yellow-rumped Flycatcher,LC
Ficedula elisae,Green-backed Flycatcher,Green-backed Flycatcher,LC
Ficedula narcissina,Narcissus Flycatcher,Narcissus Flycatcher,LC
Ficedula owstoni,Ryukyu Flycatcher,Ryukyu Flycatcher,LC
Ficedula mugimaki,Mugimaki Flycatcher,Mugimaki Flycatcher,LC
Ficedula erithacus,Slaty-backed Flycatcher,Slaty-backed Flycatcher,LC
Ficedula hyperythra,Snowy-browed Flycatcher,Snowy-browed Flycatcher,LC
Ficedula hyperythra hyperythra,,,
Ficedula hyperythra annamensis,,,
Ficedula hyperythra innexa,,,
Ficedula hyperythra sumatrana,,,
Ficedula hyperythra mjobergi,,,
Ficedula hyperythra vulcani,,,
Ficedula hyperythra clarae,,,
Ficedula hyperythra audacis,,,
Ficedula hyperythra annalisa,,,
Ficedula hyperythra jugosae,,,
Ficedula hyperythra betinabiru,,,
Ficedula hyperythra negroides,,,
Ficedula hyperythra pallidipectus,,,
Ficedula hyperythra alifura,,,
Ficedula tricolor,Slaty-blue Flycatcher,Slaty-blue Flycatcher,LC
Ficedula tricolor tricolor,,,
Ficedula tricolor minuta,,,
Ficedula tricolor cerviniventris,,,
Ficedula tricolor diversa,,,
Ficedula henrici,Damar Flycatcher,Damar Flycatcher,NT
Ficedula hodgsoni,Pygmy Flycatcher,Pygmy Flycatcher,LC
Ficedula hodgsoni hodgsoni,,,
Ficedula hodgsoni sondaica,,,
Ficedula strophiata,Rufous-gorgeted Flycatcher,Rufous-gorgeted Flycatcher,LC
Ficedula strophiata strophiata,,,
Ficedula strophiata fuscogularis,,,
Ficedula sapphira,Sapphire Flycatcher,Sapphire Flycatcher,LC
Ficedula sapphira sapphira,,,
Ficedula sapphira laotiana,,,
Ficedula sapphira tienchuanensis,,,
Ficedula superciliaris,Ultramarine Flycatcher,Ultramarine Flycatcher,LC
Ficedula superciliaris superciliaris,,,
Ficedula superciliaris aestigma,,,
Ficedula westermanni,Little Pied Flycatcher,Little Pied Flycatcher,LC
Ficedula westermanni collini,,,
Ficedula westermanni australorientis,,,
Ficedula westermanni langbianis,,,
Ficedula westermanni westermanni,,,
Ficedula westermanni rabori,,,
Ficedula westermanni palawanensis,,,
